theta2,theta3,theta4,phi,X_O2P,Y_O2P,X_Odash2P,Y_Odash2P
0,86.5428750477381,118.053205980006,155.403918972256,-0.168963948912915,-2.82791854305281,-1.41302271331698,-2.45541013149015
5,82.2969260021022,113.999673131187,163.703400866711,4.04771472575119,0.314807935342703,3.76290560633678,-1.52434902007937
10,77.8626396932907,110.135029614691,172.002330692018,-0.0718366222455823,3.04542509522792,1.29457295581143,2.75750890715176
15,73.3979159707787,106.595649035554,180.006434993668,-1.55919873252003,-1.46957499634149,-2.05110167186693,-0.619462096523152
20,69.0416672746112,103.48837973289,187.469952992499,3.44003733743496,-1.42203096078815,2.44410051358637,-2.80756150705083
25,64.9008508041425,100.881888012979,194.217261182878,1.03739069060967,3.47980933728552,2.48107989176854,2.65131949026987
30,61.0466534512687,98.8068969917304,200.146449557001,-1.23197248372031,-1.72755580491839,-1.87336613040924,-0.996345623359046
35,57.5178168801037,97.262579949518,205.219603170378,3.6030096540181,1.84390584589542,4.04720390058355,0.0425196728142547
40,54.3276529520304,96.2254703655746,209.446876682395,-2.07620727785074,-0.490881281412041,-2.07709938901942,0.4870926207368
45,51.4717936377236,95.6581022852781,212.870104076998,3.11458280700865,2.59593159706859,3.94564617764158,0.933468349348434
50,48.9349524217813,95.5159594801385,215.54908809808,-0.263801028430866,-2.15657373947628,-1.1983430913331,-1.81228450080393
55,46.696065875669,95.7523883304411,217.55154579389,-1.15907618995776,3.34135641280182,0.453608814104648,3.50747192936243
60,44.7318400905292,96.3217119499042,218.946447959567,3.49373384419603,1.49939549315972,3.79568945749754,-0.217035852408143
65,43.0190043694712,97.1809835773203,219.800012053208,0.625810164579101,-2.14693852641743,-0.397900255246995,-2.20060418639526
70,41.5356268457723,98.2908099231908,220.173563231037,-2.68182689422269,0.470705314443841,-2.19003135758432,1.61787565542572
75,40.2617987243378,99.6155879842324,220.12261329143,-1.07448535968412,3.72017697028022,0.69834095910088,3.80874721965384
80,39.1799181918864,101.12340016263,219.696681645483,1.97900668358558,3.45549200339856,3.31291405811567,2.20941007573681
85,38.2747344001745,102.785729735357,218.939535864468,3.14532739322618,1.10195932454833,3.30655340343566,-0.417256939745835
90,37.5332567200981,104.577097961801,217.889645318101,2.32674518366126,-0.987424677895774,1.64169748366273,-1.92186888635618
95,36.9445951006313,106.474682907035,216.580721992333,0.744447902926489,-1.94863727954322,-0.203245683924949,-2.0760734860219
100,36.4997708264136,108.45795359126,215.042275582327,-0.690129990448479,-2.0312901461061,-1.52397826340847,-1.50993685763434
105,36.191519745782,110.508336815593,213.300143438625,-1.66601864827453,-1.75131344856925,-2.27240956623203,-0.823936705600103
110,36.0140991934196,112.608924442658,211.376976363923,-2.20669867231899,-1.48653366369608,-2.63813853741514,-0.34572593353872
115,35.9631031904789,114.74422354283,209.292673266691,-2.40854690391665,-1.42171442681467,-2.78985725395655,-0.197652731641763
120,36.0352865863443,116.899948987296,207.064764426359,-2.31285844864494,-1.59916104863182,-2.78339866192382,-0.399151790338226
125,36.2283966451694,119.062856691384,204.708746663447,-1.87963866885676,-1.94812124268904,-2.55140067031642,-0.904749977168738
130,36.5410095757461,121.220615089222,202.238375335032,-1.03448545728338,-2.2687822069861,-1.93812224148012,-1.56882600728939
135,36.9723692950184,123.361712110054,199.665918594928,0.205955953736611,-2.21349528723952,-0.803339696519733,-2.07283008794901
140,37.522226092875,125.475394650261,197.002379256864,1.53863709273483,-1.37018109804206,0.765607394813078,-1.91275865220334
145,38.190673698716,127.551637132003,194.257689169281,2.23710132038739,0.422198198468939,2.19044275485568,-0.620350041645594
150,38.9779844370823,129.581135138521,191.440880424396,1.39817997015659,2.55839112527638,2.39282782417469,1.66572728340969
155,39.884443587882,131.55531932709,188.560237085028,-1.13096452658197,3.47436028055174,0.538112942546593,3.61395829811665
160,40.9101855872502,133.46638392754,185.62343048521,-3.66571110601062,1.73213640400791,-2.50769535299885,3.18578066592272
165,42.0550361231692,135.30732328681,182.637640590021,-3.3581753635729,-1.64925384432421,-3.74123998374717,0.0224365669754947
170,43.3183652675362,137.071969311032,179.609665421432,0.109778838039883,-2.68388225868698,-1.09929754013171,-2.45088153325216
175,44.6989573156914,138.755022486669,176.546020197639,2.01674397729657,0.621758902436488,2.08228094638535,-0.343433345849735
180,46.194902798239,140.352069589738,173.453027612023,-1.30779578520017,3.0444805393717,0.188049172589094,3.30814586726294
185,47.8035171144225,141.859582285401,170.336900600177,-4.0268609451068,-0.50984013943587,-3.83126578442117,1.34050308769882
190,49.5212884782205,143.274892521717,167.203819000063,-0.122850151173992,-3.10973896179356,-1.49750154570826,-2.72819678372762
195,51.3438555799709,144.596142743612,164.060001676417,1.6628679832153,1.3074003223909,2.07151686169711,0.428069415276198
200,53.2660128695037,145.822211209794,160.911775920702,-3.31499166768811,1.58711293600957,-2.25853363063273,2.89950393477772
205,55.2817390235266,146.952614762734,157.765646213739,-1.62530640537789,-3.39694860432597,-2.9702535888012,-2.31483786689437
210,57.3842422904236,147.987392991863,154.628364717714,2.06221367003707,0.388265684660265,2.01878917368258,-0.572682927102285
215,59.5660152185082,148.926978651795,151.507006129697,-3.22655599902488,1.31534023696253,-2.30065389593249,2.61682540589675
220,61.8188908310419,149.772059388428,148.40904978053,-0.714693878717088,-3.7023567165275,-2.29158758035754,-2.99447139880198
225,64.1340925329771,150.523435348012,145.342472119011,1.50838670582132,1.40362498979377,1.97620149449544,0.583113384708355
230,66.5022707365217,151.181876249997,142.315853013481,-3.70255887612487,-0.728630581004172,-3.63866053590772,0.999997129582549
235,68.9135201418062,151.747980188021,139.338499670173,1.68082652993944,-2.88827438614813,0.215487702774732,-3.33479711577489
240,71.3573725745552,152.222034975507,136.420592449938,-0.89815443592213,2.16796092531389,0.163550157050575,2.34093727181725
245,73.8227610751283,152.603881427479,133.573357497392,-2.01085691427709,-3.5218570568057,-3.37102986568363,-2.25459093915882
250,76.2979514235353,152.892776672773,130.809271903691,2.52324919977421,0.134472911844873,2.31814393095045,-1.00552384535567
255,78.7704374084555,153.087254478267,128.142308113278,-3.17255716921893,-0.0311904925872693,-2.85314755446312,1.38767462729969
260,81.2267959004562,153.184978665302,125.588225434241,1.49082309189311,-3.55251789880538,-0.250936905475499,-3.84447234118347
265,83.6524972226486,153.182585029053,123.164917748299,0.342149412566307,2.03354078270866,1.21356271622175,1.66721920252116
270,86.0316655409009,153.075506782604,120.892827676495,-2.40302550291837,-2.89448368489252,-3.4420623846487,-1.51814818445749
275,88.346783224424,152.857778559607,118.795438215969,3.10862351036747,-1.48027375076245,2.12151908631769,-2.71180885624253
280,90.5783327070924,152.521814677836,116.899852615071,-1.29846678951183,1.69781736492885,-0.404480152042092,2.09880814147533
285,92.7043699161062,152.058159176001,115.237470907893,-1.24478217191138,-3.63103058599258,-2.73415624515781,-2.69411495652776
290,94.7000258705858,151.455208948004,113.84476518141,3.38996177059147,-1.21108133974879,2.49341142772554,-2.59643183419998
295,96.5369393590793,150.698918566928,112.764142073992,-0.117115935386846,2.1057159506605,0.834754777346304,1.93673443426947
300,98.1826366097655,149.772508469141,112.044854921094,-2.46318993611039,-1.62963878929711,-2.93153457692077,-0.359349786774965
305,99.5998982188635,148.656220673636,111.743881107501,0.875039983533179,-3.86426611928197,-0.941123742658432,-3.8487054595561
310,100.746196222688,147.327203281045,111.926600496267,3.54179590339406,-1.74550904840853,2.39083253556536,-3.14245761248375
315,101.573354302565,145.759662950119,112.666982747316,3.3905451156578,0.763525295537658,3.374998645687,-0.829548792927662
320,102.027691332247,143.925508745791,114.046799921963,2.53184236990469,1.85632376873565,3.09412034102122,0.531585398309877
325,102.051056157569,141.795819226983,116.153124615447,2.52608201697844,1.96610662819351,3.1379500750596,0.632404108432074
330,101.583330268774,139.343573809235,119.073095921991,3.53465947904115,0.997328344879221,3.60829395079377,-0.684613924003928
335,100.567092087753,136.54812929659,122.884778615657,3.5844528601293,-1.90286789186042,2.35879454008738,-3.30231688939999
340,98.9550369294826,133.401749387761,127.643213682756,-0.649763069299542,-2.95683000433946,-1.90082637928989,-2.35624591173828
345,96.7201677916999,129.917900856475,133.361931351825,-0.113579042320457,2.60444294756394,1.06045095984187,2.38148420690553
